"","Call.Number","Date.Time","Location","Police.District","Nature.of.Call","Status","Last Updated"
"1203",230751509,"03/16/2023 08:43:09 PM","1400 E BRADY ST,MKE","1","PARK AND WALK","Service in Progress",NA
"1204",230751505,"03/16/2023 08:42:59 PM","2717 S 51ST ST,MKE","6","BATTERY DV","Service in Progress",NA
"1205",230751504,"03/16/2023 08:42:00 PM","2615 W NASH ST,MKE","5","SHOTSPOTTER","Unable to Locate Complainant",NA
"1206",230751507,"03/16/2023 08:41:43 PM","N WATER ST / E CHICAGO ST,MKE","1","PATROL","Service in Progress",NA
"1207",230751506,"03/16/2023 08:41:12 PM","S 2ND ST / W WALKER ST,MKE","2","SPECIAL ASSIGN","Assignment Completed",NA
"1208",230751492,"03/16/2023 08:35:23 PM","2766 N 44TH ST,MKE","7","CALL FOR POLICE","Advised",NA
"1209",230751487,"03/16/2023 08:31:23 PM","4309 W VILLARD AV,MKE","7","SHOTS FIRED","Unable to Locate Complainant",NA
"1210",230751490,"03/16/2023 08:30:28 PM","2859 N OAKLAND AV,MKE","1","INVESTIGATION","Assignment Completed",NA
"1211",230751480,"03/16/2023 08:25:15 PM","2478 W AUER AV,MKE","5","ENTRY","Advised/Referral",NA
"1212",230751453,"03/16/2023 08:05:48 PM","1123 N VAN BUREN ST,MKE","1","PARK AND WALK","Assignment Completed",NA
"1213",230751440,"03/16/2023 07:57:39 PM","E CAPITOL DR / N HOLTON ST,MKE","5","FOOT PURSUIT","To be Filed",NA
"1214",230751382,"03/16/2023 08:53:52 PM","6826 W CARMEN AV,MKE","4","NOISE NUISANCE","Service in Progress",NA
"1215",230751498,"03/16/2023 08:37:39 PM","2330 W ROOSEVELT DR,MKE","5","SHOTS FIRED","Unable to Locate Complainant",NA
"1216",230751398,"03/16/2023 08:35:36 PM","11777 W SILVER SPRING DR,MKE","4","TRBL W/SUBJ","To be Filed",NA
"1217",230751539,"03/16/2023 09:09:34 PM","2920 N VEL R PHILLIPS AV,MKE","5","RETURN STATION","Assignment Completed",NA
"1218",230751538,"03/16/2023 09:08:58 PM","1820 W WELLS ST,MKE","3","FOLLOW UP","Assignment Completed",NA
"1219",230751533,"03/16/2023 09:06:37 PM","6929 W SILVER SPRING DR,MKE","4","PRISONER TRANS","Service in Progress",NA
"1220",230751532,"03/16/2023 09:06:31 PM","2108 N 38TH ST,MKE","3","SHOTSPOTTER","Service in Progress",NA
"1221",230751439,"03/16/2023 09:06:13 PM","3140 S 8TH ST,MKE","6","FAMILY TROUBLE","Unable to Locate Complainant",NA
"1222",230751476,"03/16/2023 09:04:36 PM","5182 N SHERMAN BL,MKE","7","TRBL W/SUBJ","Service in Progress",NA
"1223",230751528,"03/16/2023 08:59:52 PM","3634 N 27TH ST,MKE","5","SHOTSPOTTER","Unable to Locate Complainant",NA
"1224",230751420,"03/16/2023 08:59:48 PM","720 W GRANGE AV,MKE","6","THREAT","Service in Progress",NA
"1225",230751529,"03/16/2023 08:59:37 PM","3006 S 27TH ST,MKE","6","CONVEY PROPERTY","Assignment Completed",NA
"1226",230751522,"03/16/2023 08:58:37 PM","114 S 69TH ST,MKE","3","STOLEN VEHICLE","Service in Progress",NA
"1227",230751482,"03/16/2023 08:58:33 PM","605 W VIRGINIA ST,MKE","2","ENTRY TO AUTO","Service in Progress",NA
"1228",230751523,"03/16/2023 08:56:24 PM","4616 W HAMPTON AV,MKE","7","FOLLOW UP","Service in Progress",NA
"1229",230751520,"03/16/2023 08:55:15 PM","939 S 2ND ST","2","THEFT VEHICLE","Service in Progress",NA
"1230",230751382,"03/16/2023 08:53:52 PM","6826 W CARMEN AV,MKE","4","NOISE NUISANCE","Advised",NA
"1231",230751517,"03/16/2023 08:47:00 PM","907 N 26TH ST,MKE","3","THREAT","Advised",NA
"1232",230751518,"03/16/2023 08:46:56 PM","3448 S 57TH ST,MKE","6","THEFT","To be Filed",NA
"1233",230751509,"03/16/2023 08:43:09 PM","1400 E BRADY ST,MKE","1","PARK AND WALK","Assignment Completed",NA
"1234",230751489,"03/16/2023 08:31:53 PM","8757 W HERBERT AV,MKE","7","ENTRY","Advised/Referral",NA
"1235",230751448,"03/16/2023 08:19:43 PM","1966 S 11TH ST,MKE","2","TRBL W/SUBJ","Advised",NA
"1236",230751407,"03/16/2023 08:11:10 PM","845 N VAN BUREN ST,MKE","1","TRBL W/SUBJ","Advised",NA
"1237",230751548,"03/16/2023 09:19:18 PM","2973 N 89TH ST,MKE","7","TRBL W/SUBJ","Service in Progress",NA
"1238",230751545,"03/16/2023 09:19:10 PM","3210 N 28TH ST,MKE","5","ENTRY","Unable to Locate Complainant",NA
"1239",230751437,"03/16/2023 09:18:27 PM","4255 N 89TH ST,MKE","7","FAMILY TROUBLE","Service in Progress",NA
"1240",230751546,"03/16/2023 09:18:10 PM","4715 W VLIET ST,MKE","3","SPECIAL ASSIGN","Service in Progress",NA
"1241",230751544,"03/16/2023 09:15:53 PM","2920 N VEL R PHILLIPS AV,MKE","5","RETURN STATION","Service in Progress",NA
"1242",230751543,"03/16/2023 09:15:34 PM","3356 N 44TH ST,MKE","7","SHOTSPOTTER","Unable to Locate Complainant",NA
"1243",230751524,"03/16/2023 09:12:46 PM","9709 W CAPITOL DR,MKE","7","TRBL W/SUBJ","Advised",NA
"1244",230751534,"03/16/2023 09:10:54 PM","2319 N 16TH ST,MKE","3","ADDL INFO","Unable to Locate Complainant",NA
"1245",230751540,"03/16/2023 09:10:04 PM","1044 N MARTIN L KING JR DR,MKE","1","INVESTIGATION","Service in Progress",NA
"1246",230751532,"03/16/2023 09:06:31 PM","2108 N 38TH ST,MKE","3","SHOTSPOTTER","Unable to Locate Complainant",NA
"1247",230751559,"03/16/2023 09:29:26 PM","3959 N 24TH PL,MKE","5","MEET GOVT AGENCY","Service in Progress",NA
"1248",230751557,"03/16/2023 09:26:48 PM","3421 W NORTH AV,MKE","3","SUBJ WITH GUN","Service in Progress",NA
"1249",230751527,"03/16/2023 09:26:12 PM","3001 W SILVER SPRING DR,MKE","4","TRBL W/SUBJ","Unable to Locate Complainant",NA
"1250",230751525,"03/16/2023 09:25:53 PM","5942 N 63RD ST,MKE","4","PROPERTY DAMAGE","Service in Progress",NA
"1251",230751547,"03/16/2023 09:25:24 PM","1674 N CASS ST,MKE","1","NOISE NUISANCE","Service in Progress",NA
"1252",230751553,"03/16/2023 09:22:05 PM","3006 S 27TH ST,MKE","6","ASSIGN-ADMN MPD","Service in Progress",NA
"1253",230751544,"03/16/2023 09:15:53 PM","2920 N VEL R PHILLIPS AV,MKE","5","RETURN STATION","Assignment Completed",NA
"1254",230751523,"03/16/2023 08:56:24 PM","4616 W HAMPTON AV,MKE","7","FOLLOW UP","Assignment Completed",NA
"1255",230751520,"03/16/2023 08:55:15 PM","939 S 2ND ST,MKE","2","THEFT VEHICLE","To be Filed",NA
"1256",230751507,"03/16/2023 08:41:43 PM","N WATER ST / E CHICAGO ST,MKE","1","PATROL","Assignment Completed",NA
"1257",230751496,"03/16/2023 08:35:25 PM","900 S 5TH ST,MKE","2","ENTRY TO AUTO","To be Filed",NA
"1258",230751499,"03/16/2023 08:34:56 PM","N 60TH ST / W SILVER SPRING DR,MKE","4","INVESTIGATION","Assignment Completed",NA
"1259",230751572,"03/16/2023 09:37:41 PM","4400-BLK W FOREST HOME AV,MKE","6","INVESTIGATION","Service in Progress",NA
"1260",230751424,"03/16/2023 09:36:28 PM","8405 W NORTHRIDGE CT,MKE","4","FAMILY TROUBLE","Service in Progress",NA
"1261",230751447,"03/16/2023 09:36:09 PM","7733 W VILLARD AV,MKE","7","FAMILY TROUBLE","Assignment Completed",NA
"1262",230751570,"03/16/2023 09:34:07 PM","2920 N VEL R PHILLIPS AV,MKE","5","REPORTS","Assignment Completed",NA
"1263",230751566,"03/16/2023 09:33:17 PM","245 W LINCOLN AV,MKE","2","RETURN STATION","Assignment Completed",NA
"1264",230751565,"03/16/2023 09:31:53 PM","749 W STATE ST,MKE","1","PRISONER TRANS","Assignment Completed",NA
"1265",230751562,"03/16/2023 09:31:16 PM","3401 W CENTER ST,MKE","3","SHOTSPOTTER","Unable to Locate Complainant",NA
"1266",230751564,"03/16/2023 09:30:42 PM","2920 N VEL R PHILLIPS AV,MKE","5","REPORTS","Service in Progress",NA
"1267",230751563,"03/16/2023 09:30:40 PM","N 27TH ST / W PORT SUNLIGHT WA,MKE","5","PARK AND WALK","Service in Progress",NA
"1268",230751559,"03/16/2023 09:29:26 PM","3959 N 24TH PL,MKE","5","MEET GOVT AGENCY","Assignment Completed",NA
"1269",230751525,"03/16/2023 09:25:53 PM","5942 N 63RD ST,MKE","4","PROPERTY DAMAGE","Unable to Locate Complainant",NA
"1270",230751476,"03/16/2023 09:04:36 PM","5182 N SHERMAN BL,MKE","7","TRBL W/SUBJ","To be Filed",NA
"1271",230751522,"03/16/2023 08:58:37 PM","114 S 69TH ST,MKE","3","STOLEN VEHICLE","Advised",NA
"1272",230751582,"03/16/2023 09:49:01 PM","1213 N WATER ST,MKE","1","SPECIAL ASSIGN","Service in Progress",NA
"1273",230751580,"03/16/2023 09:48:11 PM","5158 N 61ST ST,MKE","7","BATTERY DV","Service in Progress",NA
"1274",230751494,"03/16/2023 09:47:57 PM","3826 W BROWN ST,MKE","3","ADDL INFO","Service in Progress",NA
"1275",230751579,"03/16/2023 09:45:26 PM","4965 N 20TH ST,MKE","7","BATTERY DV","Service in Progress",NA
"1276",230751560,"03/16/2023 09:44:57 PM","5383 N LONG ISLAND DR,MKE","4","SUBJ WITH WEAPON","Service in Progress",NA
"1277",230751574,"03/16/2023 09:43:04 PM","3805 W CHEYENNE ST,MKE","4","SUSP PERS/AUTO","Service in Progress",NA
"1278",230751547,"03/16/2023 09:25:24 PM","1674 N CASS ST,MKE","1","NOISE NUISANCE","Advised",NA
"1279",230751592,"03/16/2023 09:59:24 PM","N 8TH ST / W LOCUST ST,MKE","5","WELFARE CITIZEN","Service in Progress",NA
"1280",230751590,"03/16/2023 09:57:37 PM","422 S 2ND ST,MKE","2","ENTRY TO AUTO","To be Filed",NA
"1281",230751591,"03/16/2023 09:57:19 PM","2851 N 23RD ST,MKE","5","SHOTSPOTTER","Unable to Locate Complainant",NA
"1282",230751586,"03/16/2023 09:56:12 PM","N 39TH ST / W CAPITOL DR,MKE","7","BATTERY DV","Unable to Locate Complainant",NA
"1283",230751589,"03/16/2023 09:55:51 PM","DISTRICT 1","1","RETURN STATION","Service in Progress",NA
"1284",230751424,"03/16/2023 09:36:28 PM","8405 W NORTHRIDGE CT,MKE","4","FAMILY TROUBLE","Unable to Locate Complainant",NA
"1285",230751564,"03/16/2023 09:30:42 PM","2920 N VEL R PHILLIPS AV,MKE","5","REPORTS","To be Filed",NA
"1286",230751621,"03/16/2023 10:08:43 PM","749 W STATE ST,MKE","1","RETURN STATION","Service in Progress",NA
"1287",230751604,"03/16/2023 10:08:27 PM","3228 N 24TH ST,MKE","5","SUBJ WITH GUN","Service in Progress",NA
"1288",230751608,"03/16/2023 10:07:00 PM","6929 W SILVER SPRING DR,MKE","4","PRISONER TRANS","Service in Progress",NA
"1289",230751606,"03/16/2023 10:06:11 PM","2843 N 23RD ST,MKE","5","SHOTSPOTTER","Unable to Locate Complainant",NA
"1290",230751588,"03/16/2023 10:06:10 PM","3130 N 35TH ST,MKE","7","WELFARE CITIZEN","Unable to Locate Complainant",NA
"1291",230751614,"03/16/2023 10:05:57 PM","3626 W FOND DU LAC AV,MKE","7","RETURN STATION","Assignment Completed",NA
"1292",230751613,"03/16/2023 10:05:37 PM","4500-BLK N 30TH ST,MKE","5","SHOTS FIRED","Unable to Locate Complainant",NA
"1293",230751605,"03/16/2023 10:05:31 PM","4357 N 37TH ST,MKE","7","SHOTSPOTTER","Unable to Locate Complainant",NA
"1294",230751603,"03/16/2023 10:04:39 PM","4300-BLK N 27TH ST,MKE","5","SHOTS FIRED","Unable to Locate Complainant",NA
"1295",230751601,"03/16/2023 10:02:50 PM","2549 N LAKE DR,MKE","1","CALL FOR POLICE","Service in Progress",NA
"1296",230751600,"03/16/2023 10:02:12 PM","245 W LINCOLN AV,MKE","2","CITIZEN CONVEY","Assignment Completed",NA
"1297",230751581,"03/16/2023 10:01:54 PM","4909 N 21ST ST,MKE","7","BATTERY DV","Service in Progress",NA
"1298",230751595,"03/16/2023 10:00:54 PM","7450 N 86TH ST,MKE","4","EXPLOSION","Service in Progress",NA
"1299",230751597,"03/16/2023 10:00:31 PM","3278 N 10TH ST,MKE","5","FOLLOW UP","Service in Progress",NA
"1300",230751589,"03/16/2023 09:55:51 PM","749 W STATE ST,MKE","1","RETURN STATION","Assignment Completed",NA
"1301",230751580,"03/16/2023 09:48:11 PM","5158 N 61ST ST,MKE","7","BATTERY DV","Advised/Referral",NA
"1302",230751548,"03/16/2023 09:19:18 PM","2973 N 89TH ST,MKE","7","TRBL W/SUBJ","Advised",NA
"1303",230751636,"03/16/2023 10:18:34 PM","2149 S 16TH ST,MKE","2","SHOTSPOTTER","Service in Progress",NA
"1304",230751632,"03/16/2023 10:18:12 PM","S 4TH ST / W VIRGINIA ST,MKE","2","PROPERTY DAMAGE","Service in Progress",NA
"1305",230751596,"03/16/2023 10:17:42 PM","749 W STATE ST,MKE","1","MED RUN","Service in Progress",NA
"1306",230751629,"03/16/2023 10:14:50 PM","3626 W FOND DU LAC AV,MKE","7","SPECIAL ASSIGN","Service in Progress",NA
"1307",230751624,"03/16/2023 10:14:19 PM","N 37TH ST / W VILLARD AV,MKE","7","SUBJ WITH GUN","Unable to Locate Complainant",NA
"1308",230751623,"03/16/2023 10:14:11 PM","3220 N 29TH ST,MKE","5","SHOTSPOTTER","Service in Progress",NA
"1309",230751620,"03/16/2023 10:14:06 PM","323 N MILWAUKEE ST,MKE","1","TRBL W/SUBJ","Advised",NA
"1310",230751626,"03/16/2023 10:12:51 PM","9200 W WISCONSIN AV,MKE","3","HOSPITAL GUARD","Service in Progress",NA
"1311",230751625,"03/16/2023 10:12:07 PM","1307 E BRADY ST,MKE","1","PARK AND WALK","Service in Progress",NA
"1312",230751612,"03/16/2023 10:10:22 PM","3900 W MARION ST,MKE","7","SHOTSPOTTER","Service in Progress",NA
"1313",230751621,"03/16/2023 10:08:43 PM","749 W STATE ST,MKE","1","RETURN STATION","Assignment Completed",NA
"1314",230751574,"03/16/2023 09:43:04 PM","3805 W CHEYENNE ST,MKE","4","SUSP PERS/AUTO","Advised",NA
"1315",230751553,"03/16/2023 09:22:05 PM","3006 S 27TH ST,MKE","6","ASSIGN-ADMN MPD","To be Filed",NA
"1316",230751643,"03/16/2023 10:25:48 PM","3151 W LAKEFIELD DR,MKE","6","TRAFFIC STOP","Service in Progress",NA
"1317",230751633,"03/16/2023 10:25:13 PM","3130 N 35TH ST,MKE","7","SUBJ WITH GUN","Advised/Referral",NA
"1318",230751618,"03/16/2023 10:23:53 PM","3969 N 39TH ST,MKE","7","SUBJ WITH GUN","Advised/Referral",NA
"1319",230751611,"03/16/2023 10:22:42 PM","1300 N VEL R PHILLIPS AV,MKE","1","BATTERY","Advised",NA
"1320",230751642,"03/16/2023 10:22:23 PM","4610 S 20TH ST,MKE","6","ABAND/STOLEN PRO","To be Filed",NA
"1321",230751640,"03/16/2023 10:22:06 PM","W LINCOLN AV / W WINDLAKE AV,MKE","2","ACC PDO","Service in Progress",NA
"1322",230751637,"03/16/2023 10:20:40 PM","S 2ND ST / W WALKER ST,MKE","2","SPECIAL ASSIGN","Assignment Completed",NA
"1323",230751625,"03/16/2023 10:12:07 PM","1307 E BRADY ST,MKE","1","PARK AND WALK","Assignment Completed",NA
"1324",230751612,"03/16/2023 10:10:22 PM","3900 W MARION ST,MKE","7","SHOTSPOTTER","Assignment Completed",NA
"1325",230751601,"03/16/2023 10:02:50 PM","2549 N LAKE DR,MKE","1","CALL FOR POLICE","Unable to Locate Complainant",NA
"1326",230751579,"03/16/2023 09:45:26 PM","4965 N 20TH ST,MKE","7","BATTERY DV","Advised/Referral",NA
"1327",230751560,"03/16/2023 09:44:57 PM","5383 N LONG ISLAND DR,MKE","4","SUBJ WITH WEAPON","Advised/Referral",NA
"1328",230751572,"03/16/2023 09:37:41 PM","4400-BLK W FOREST HOME AV,MKE","6","INVESTIGATION","Assignment Completed",NA
"1329",230751638,"03/16/2023 10:38:53 PM","3263 N 9TH ST,MKE","5","LOOSE ANIMAL","Service in Progress",NA
"1330",230751616,"03/16/2023 10:38:20 PM","2820 W VIENNA AV,MKE","5","CALL FOR POLICE","Service in Progress",NA
"1331",230751648,"03/16/2023 10:37:01 PM","N NORWOOD PL / W ROOSEVELT DR,MKE","7","TRAFFIC HAZARD","Unable to Locate Complainant",NA
"1332",230751651,"03/16/2023 10:35:02 PM","3300-BLK N 27TH ST,MKE","5","PATROL","Assignment Completed",NA
"1333",230751643,"03/16/2023 10:25:48 PM","3151 W LAKEFIELD DR,MKE","6","TRAFFIC STOP","City Citation(s) Issued",NA
"1334",230751604,"03/16/2023 10:08:27 PM","3228 N 24TH ST,MKE","5","SUBJ WITH GUN","Advised/Referral",NA
"1335",230751597,"03/16/2023 10:00:31 PM","3278 N 10TH ST,MKE","5","FOLLOW UP","Assignment Completed",NA
"1336",230751657,"03/16/2023 10:43:45 PM","N TEUTONIA AV / W GOOD HOPE RD,MKE","4","PATROL","Assignment Completed",NA
"1337",230751656,"03/16/2023 10:43:19 PM","3626 W FOND DU LAC AV,MKE","7","RETURN STATION","Assignment Completed",NA
"1338",230751616,"03/16/2023 10:38:20 PM","2820 W VIENNA AV,MKE","5","CALL FOR POLICE","Advised",NA
"1339",230751494,"03/16/2023 09:47:57 PM","3826 W BROWN ST,MKE","3","ADDL INFO","To be Filed",NA
"1340",230751667,"03/16/2023 10:56:02 PM","3006 S 27TH ST,MKE","6","ASSIGNMENT","Service in Progress",NA
"1341",230751666,"03/16/2023 10:54:51 PM","3626 W FOND DU LAC AV,MKE","7","RETURN STATION","Assignment Completed",NA
"1342",230751594,"03/16/2023 10:54:34 PM","1715 W 18TH CT,MKE","3","FAMILY TROUBLE","Advised",NA
"1343",230751664,"03/16/2023 10:52:46 PM","3100-BLK N 78TH ST,MKE","7","SPECIAL ASSIGN","Service in Progress",NA
"1344",230751662,"03/16/2023 10:49:08 PM","1227 E BRADY ST,MKE","1","BUSINESS CHECK","Assignment Completed",NA
"1345",230751635,"03/16/2023 10:48:49 PM","N 35TH ST / W LOCUST ST,MKE","7","ACC PDO","Service in Progress",NA
"1346",230751660,"03/16/2023 10:47:31 PM","6680 N TEUTONIA AV,MKE","4","RETURN STATION","Assignment Completed",NA
"1347",230751658,"03/16/2023 10:45:23 PM","1505 N FRANKLIN PL,MKE","1","BATTERY DV","Advised/Referral",NA
"1348",230751655,"03/16/2023 10:45:04 PM","2033 W CONGRESS ST,MKE","5","SHOTSPOTTER","Unable to Locate Complainant",NA
"1349",230751632,"03/16/2023 10:18:12 PM","S 4TH ST / W VIRGINIA ST,MKE","2","PROPERTY DAMAGE","To be Filed",NA
"1350",230751626,"03/16/2023 10:12:51 PM","9200 W WISCONSIN AV,MKE","3","HOSPITAL GUARD","Assignment Completed",NA
"1351",230751665,"03/16/2023 11:09:19 PM","1125 N MARTIN L KING JR DR,MKE","1","TRBL W/SUBJ","Service in Progress",NA
"1352",230751681,"03/16/2023 11:09:10 PM","605 S 1ST ST,MKE","2","BUSINESS CHECK","Assignment Completed",NA
"1353",230751679,"03/16/2023 11:07:33 PM","3607 N 15TH ST,MKE","5","SHOTSPOTTER","Unable to Locate Complainant",NA
"1354",230751674,"03/16/2023 11:03:20 PM","10855 W PARK PL,MKE","4","CALL FOR POLICE","Service in Progress",NA
"1355",230751659,"03/16/2023 11:02:24 PM","4588 S 20TH ST,MKE","6","NOISE NUISANCE","Advised",NA
"1356",230751671,"03/16/2023 11:01:44 PM","9205 W SILVER SPRING DR,MKE","4","OVERDOSE","Service in Progress",NA
"1357",230751673,"03/16/2023 11:01:38 PM","1611 N ASTOR ST,MKE","1","INVESTIGATION","To be Filed",NA
"1358",230751584,"03/16/2023 11:14:24 PM","5845 S 31ST ST,MKE","6","ENTRY","Service in Progress",NA
"1359",230751677,"03/16/2023 11:10:37 PM","2951 N 57TH ST,MKE","7","STOLEN VEHICLE","Unable to Locate Complainant",NA
"1360",230751664,"03/16/2023 10:52:46 PM","3100-BLK N 78TH ST,MKE","7","SPECIAL ASSIGN","Assignment Completed",NA
"1361",230751640,"03/16/2023 10:22:06 PM","W LINCOLN AV / W WINDLAKE AV,MKE","2","ACC PDO","City Citation(s) Issued",NA
"1362",230751701,"03/16/2023 11:28:51 PM","700 W VIRGINIA ST,MKE","2","ENTRY TO AUTO","Advised",NA
"1363",230751705,"03/16/2023 11:26:25 PM","2578 N 21ST ST,MKE","3","INVESTIGATION","Assignment Completed",NA
"1364",230751702,"03/16/2023 11:25:26 PM","S 27TH ST / W LAYTON AV,MKE","6","TRAFFIC STOP","Assignment Completed",NA
"1365",230751698,"03/16/2023 11:24:18 PM","222 N 75TH ST,MKE","3","SHOTS FIRED","Unable to Locate Complainant",NA
"1366",230751699,"03/16/2023 11:24:10 PM","1044 N MARTIN L KING JR DR,MKE","1","SPECIAL ASSIGN","Service in Progress",NA
"1367",230751697,"03/16/2023 11:23:43 PM","3727 N 25TH ST,MKE","5","SHOTSPOTTER","Unable to Locate Complainant",NA
"1368",230751693,"03/16/2023 11:19:52 PM","1400 E BRADY ST,MKE","1","BUSINESS CHECK","Assignment Completed",NA
"1369",230751691,"03/16/2023 11:17:47 PM","2768 N 27TH ST,MKE","5","SHOTSPOTTER","Unable to Locate Complainant",NA
"1370",230751689,"03/16/2023 11:17:22 PM","3130 N 35TH ST,MKE","7","WELFARE CITIZEN","Assignment Completed",NA
"1371",230751686,"03/16/2023 11:17:04 PM","1300 N VEL R PHILLIPS AV,MKE","1","TRBL W/SUBJ","Service in Progress",NA
"1372",230751690,"03/16/2023 11:16:03 PM","3415 W FOREST HOME AV,MKE","6","TRAFFIC STOP","City Citation(s) Issued",NA
"1373",230751688,"03/16/2023 11:15:22 PM","N 35TH ST / W WALNUT ST,MKE","3","PATROL","Assignment Completed",NA
"1374",230751665,"03/16/2023 11:09:19 PM","1125 N MARTIN L KING JR DR,MKE","1","TRBL W/SUBJ","Advised",NA
"1375",230751674,"03/16/2023 11:03:20 PM","10855 W PARK PL,MKE","4","CALL FOR POLICE","Advised",NA
"1376",230751667,"03/16/2023 10:56:02 PM","3006 S 27TH ST,MKE","6","ASSIGNMENT","Assignment Completed",NA
"1377",230751635,"03/16/2023 10:48:49 PM","N 35TH ST / W LOCUST ST,MKE","7","ACC PDO","To be Filed",NA
"1378",230751695,"03/16/2023 11:31:47 PM","3130 N 35TH ST,MKE","7","WELFARE CITIZEN","Advised",NA
"1379",230751704,"03/16/2023 11:31:07 PM","8322 W POTOMAC AV,MKE","7","DEAD ON ENTRY","Service in Progress",NA
"1380",230751707,"03/16/2023 11:30:31 PM","2333 N 49TH ST,MKE","3","OUT OF SERVICE","Assignment Completed",NA
"1381",230751638,"03/16/2023 10:38:53 PM","3263 N 9TH ST,MKE","5","LOOSE ANIMAL","Assignment Completed",NA
"1382",230751717,"03/16/2023 11:43:52 PM","3006 S 27TH ST,MKE","6","OUT OF SERVICE","Assignment Completed",NA
"1383",230751716,"03/16/2023 11:43:04 PM","749 W STATE ST,MKE","1","OUT OF SERVICE","Assignment Completed",NA
"1384",230751712,"03/16/2023 11:38:57 PM","6929 W SILVER SPRING DR,MKE","4","OUT OF SERVICE","Assignment Completed",NA
"1385",230751711,"03/16/2023 11:37:58 PM","2920 N VEL R PHILLIPS AV,MKE","5","OUT OF SERVICE","Assignment Completed",NA
"1386",230751710,"03/16/2023 11:37:34 PM","2931 N 57TH ST,MKE","7","STOLEN VEHICLE","Service in Progress",NA
"1387",230751709,"03/16/2023 11:35:29 PM","245 W LINCOLN AV,MKE","2","OUT OF SERVICE","Assignment Completed",NA
"1388",230751727,"03/16/2023 11:53:11 PM","8340 W LISBON AV,MKE","7","TAVERN CHECK","Service in Progress",NA
"1389",230751610,"03/16/2023 11:50:12 PM","3144 N 24TH PL,MKE","5","TRBL W/SUBJ","Advised",NA
"1390",230751708,"03/16/2023 11:47:07 PM","8890 N 96TH ST,MKE","4","SUSP PERS/AUTO","Advised",NA
"1391",230751718,"03/16/2023 11:46:42 PM","3607 N 25TH ST,MKE","5","SHOTSPOTTER","Service in Progress",NA
"1392",230751686,"03/16/2023 11:17:04 PM","1300 N VEL R PHILLIPS AV,MKE","1","TRBL W/SUBJ","Advised",NA
"1393",230760009,"03/17/2023 12:04:40 AM","3006 S 27TH ST,MKE","6","REPORTS","Service in Progress",NA
"1394",230760007,"03/17/2023 12:04:19 AM","6680 N TEUTONIA AV,MKE","4","SPECIAL ASSIGN","Service in Progress",NA
"1395",230751723,"03/17/2023 12:03:47 AM","3110 N 35TH ST,MKE","7","MFD OTHER","Service in Progress",NA
"1396",230760005,"03/17/2023 12:03:36 AM","5321 W GREEN TREE RD,MKE","4","BUSINESS CHECK","Service in Progress",NA
"1397",230751670,"03/17/2023 12:03:33 AM","7739 N 80TH ST,MKE","4","TRBL W/JUV","Service in Progress",NA
"1398",230760004,"03/17/2023 12:03:11 AM","1239 E BRADY ST,MKE","1","PARK AND WALK","Service in Progress",NA
"1399",230751721,"03/17/2023 12:02:34 AM","5461 N 62ND ST,MKE","4","SUSP PERS/AUTO","Service in Progress",NA
"1400",230751732,"03/17/2023 12:01:35 AM","1721 W CANAL ST,MKE","3","DUI","Unable to Locate Complainant",NA
"1401",230751730,"03/17/2023 12:01:05 AM","5919 N TEUTONIA AV,MKE","4","SUBJ WITH GUN","Service in Progress",NA
"1402",230760002,"03/17/2023 12:00:59 AM","2333 N 49TH ST,MKE","3","ASSIGNMENT","Service in Progress",NA
"1403",230760001,"03/17/2023 12:00:48 AM","3006 S 27TH ST,MKE","6","REPORTS","Service in Progress",NA
"1404",230751727,"03/16/2023 11:53:11 PM","8340 W LISBON AV,MKE","7","TAVERN CHECK","Assignment Completed",NA
"1405",230751718,"03/16/2023 11:46:42 PM","3607 N 25TH ST,MKE","5","SHOTSPOTTER","Unable to Locate Complainant",NA
"1406",230760019,"03/17/2023 12:19:23 AM","2161 N RIVERBOAT RD,MKE","5","SUSP PERS/AUTO","Assignment Completed",NA
"1407",230760015,"03/17/2023 12:17:46 AM","3532 W NORTH AV,MKE","3","SHOTSPOTTER","Service in Progress",NA
"1408",230760023,"03/17/2023 12:17:25 AM","N 1ST ST / E BROWN ST,MKE","5","PARK AND WALK","Service in Progress",NA
"1409",230760022,"03/17/2023 12:16:57 AM","1218 W ORCHARD ST,MKE","2","FOLLOW UP","Assignment Completed",NA
"1410",230760021,"03/17/2023 12:15:31 AM","749 W STATE ST,MKE","1","CITIZEN CONVEY","Service in Progress",NA
"1411",230760018,"03/17/2023 12:14:11 AM","2334 W BURNHAM ST,MKE","2","SHOTSPOTTER","Unable to Locate Complainant",NA
"1412",230751722,"03/17/2023 12:12:49 AM","S 17TH ST / W FOREST HOME AV,MKE","2","CALL FOR POLICE","Service in Progress",NA
"1413",230751531,"03/17/2023 12:11:51 AM","3078 N HOLTON ST,MKE","5","ADDL INFO","Unable to Locate Complainant",NA
"1414",230751687,"03/17/2023 12:09:23 AM","749 W STATE ST,MKE","1","MED RUN","Service in Progress",NA
"1415",230760014,"03/17/2023 12:09:14 AM","2236 N 39TH ST,MKE","3","SHOTSPOTTER","To be Filed",NA
"1416",230760003,"03/17/2023 12:08:52 AM","2150 S 13TH ST,MKE","2","THREAT","Service in Progress",NA
"1417",230760013,"03/17/2023 12:08:17 AM","2918 N 46TH ST,MKE","7","SUBJ WITH WEAPON","Service in Progress",NA
